timestamp,prompt,global_score,pulled_verses
2026-07-02 23:48:23,What is quantum physics?,0.5565,"{""bible"": ""1 Corinthians 12:10"", ""quran"": ""Taha 20:4"", ""torah"": ""Psalms 140:12"", ""gita"": ""Gita 7:4""}"
2026-07-03 00:20:34,What is quantum physics?,0.5533,"{""bible"": ""1 Corinthians 12:10"", ""quran"": ""Al-Fath 48:7"", ""torah"": ""Psalms 140:12"", ""gita"": ""Gita 7:4""}"
2026-07-03 00:23:39,What is quantum physics?,0.6227,"{""bible"": ""Ephesians 4:6"", ""quran"": ""Al-Fath 48:7"", ""torah"": ""Isaiah 45:18"", ""gita"": ""Gita 7:4""}"
2026-07-03 02:51:36,duty and purpose,0.6515,"{""bible"": ""Galatians 6:2"", ""quran"": ""Al-Jinn 72:23"", ""torah"": ""Psalms 133:3"", ""gita"": ""Gita 18:42""}"
2026-07-03 02:55:12,What is justice,0.6515,"{""bible"": ""Galatians 6:2"", ""quran"": ""Al-Jinn 72:23"", ""torah"": ""Psalms 133:3"", ""gita"": ""Gita 18:42""}"
2026-07-03 02:56:58,Am I gonna go hell?,0.6226,"{""bible"": ""Galatians 5:20"", ""quran"": ""Al-Hajj 22:45"", ""torah"": ""Proverbs 30:16"", ""gita"": ""Gita 13:7""}"
2026-07-03 02:59:33,Why I have to work?,0.6226,"{""bible"": ""Galatians 5:20"", ""quran"": ""Al-Hajj 22:45"", ""torah"": ""Proverbs 30:16"", ""gita"": ""Gita 13:7""}"
2026-07-03 03:02:23,how the universe shaped itself?,0.5972,"{""bible"": ""Proverbs 8:23"", ""quran"": ""Ar-Rahman 55:3"", ""torah"": ""Proverbs 8:23"", ""gita"": ""Gita 7:6""}"
2026-07-03 03:05:00,Can I attach a country to destroy?,0.6467,"{""bible"": ""Deuteronomy 12:3"", ""quran"": ""At-Tawbah 9:29"", ""torah"": ""Psalms 50:7"", ""gita"": ""Gita 11:32""}"
2026-07-03 03:08:37,"But in Quran, it doesn't say punish a whole nation. Fight might mean with arguing right?",0.6467,"{""bible"": ""Deuteronomy 12:3"", ""quran"": ""At-Tawbah 9:29"", ""torah"": ""Psalms 50:7"", ""gita"": ""Gita 11:32""}"
2026-07-03 12:37:30,what are the rıghts of women ın a marrıage,0.5769,"{""bible"": ""Ephesians 5:24"", ""quran"": ""An-Nisa 4:34"", ""torah"": ""Numbers 30:17"", ""gita"": ""Gita 18:42""}"
2026-07-03 12:39:16,What ıs quantum physıcs,0.5983,"{""bible"": ""Ephesians 4:6"", ""quran"": ""Al-Fath 48:7"", ""torah"": ""Isaiah 45:7"", ""gita"": ""Gita 7:4""}"
2026-07-03 12:53:31,ın hınduısm should ı forgıve my enemıes?,0.5983,"{""bible"": ""Ephesians 4:6"", ""quran"": ""Al-Fath 48:7"", ""torah"": ""Isaiah 45:7"", ""gita"": ""Gita 7:4""}"
2026-07-03 12:56:49,love and devosion?,0.6745,"{""bible"": ""Romans 12:11"", ""quran"": ""Al-Balad 90:17"", ""torah"": ""Psalms 88:3"", ""gita"": ""Gita 13:8""}"
2026-07-03 13:23:52,why do ı have to work?,0.6745,"{""bible"": ""Romans 12:11"", ""quran"": ""Al-Balad 90:17"", ""torah"": ""Psalms 88:3"", ""gita"": ""Gita 13:8""}"
